label,prediksi,hasil,pasar
"USD/IDR < 16000 #74",0.36,0,0.43
"Ekspor naik QoQ #75",0.36,0,0.34
"Beras medium < 14rb #76",0.07,0,0.15
"Cadev naik #77",0.83,1,0.69
"PMI > 50 #78",0.21,1,0.21
"Defisit < 2.5% #79",0.03,0,0.05
"Upah minimum naik > 6% #80",0.41,1,0.48
"Inflasi Juni < 2.5% #81",0.34,1,0.44
"BI 7DRR ditahan #82",0.48,1,0.45
"IHSG > 7500 #83",0.97,1,0.95
"USD/IDR < 16000 #84",0.68,1,0.72
"Ekspor naik QoQ #85",0.39,1,0.45
"Beras medium < 14rb #86",0.38,0,0.37
"Cadev naik #87",0.69,0,0.54
"PMI > 50 #88",0.03,0,0.09
"Defisit < 2.5% #89",0.20,0,0.28
"Upah minimum naik > 6% #90",0.28,0,0.18
"Inflasi Juni < 2.5% #91",0.25,0,0.35
"BI 7DRR ditahan #92",0.35,1,0.52
"IHSG > 7500 #93",0.11,0,0.18
"USD/IDR < 16000 #94",0.48,1,0.52
"Ekspor naik QoQ #95",0.52,1,0.37
"Beras medium < 14rb #96",0.57,1,0.60
"Cadev naik #97",0.07,0,0.21
"PMI > 50 #98",0.03,0,0.18
"Defisit < 2.5% #99",0.51,1,0.51
"Upah minimum naik > 6% #100",0.36,0,0.36
"Inflasi Juni < 2.5% #101",0.45,0,0.51
"BI 7DRR ditahan #102",0.24,0,0.32
"IHSG > 7500 #103",0.25,0,0.30
"USD/IDR < 16000 #104",0.67,1,0.56
"Ekspor naik QoQ #105",0.30,0,0.40
"Beras medium < 14rb #106",0.38,0,0.57
"Cadev naik #107",0.19,1,0.21
"PMI > 50 #108",0.34,0,0.43
"Defisit < 2.5% #109",0.79,0,0.79
"Upah minimum naik > 6% #110",0.36,1,0.42
"Inflasi Juni < 2.5% #111",0.26,0,0.32
"BI 7DRR ditahan #112",0.42,1,0.45
"IHSG > 7500 #113",0.14,0,0.23
"USD/IDR < 16000 #114",0.31,1,0.52
"Ekspor naik QoQ #115",0.03,0,0.10
"Beras medium < 14rb #116",0.16,1,0.25
"Cadev naik #117",0.40,0,0.41
"PMI > 50 #118",0.63,0,0.64
"Defisit < 2.5% #119",0.66,1,0.73
"Upah minimum naik > 6% #120",0.03,0,0.13
"Inflasi Juni < 2.5% #121",0.08,0,0.26
"BI 7DRR ditahan #122",0.12,0,0.17
"IHSG > 7500 #123",0.74,1,0.72
"USD/IDR < 16000 #124",0.40,0,0.38
"Ekspor naik QoQ #125",0.11,1,0.22
"Beras medium < 14rb #126",0.06,0,0.23
"Cadev naik #127",0.11,1,0.21
"PMI > 50 #128",0.07,0,0.23
"Defisit < 2.5% #129",0.03,0,0.07
"Upah minimum naik > 6% #130",0.74,1,0.77
"Inflasi Juni < 2.5% #131",0.73,1,0.65
"BI 7DRR ditahan #132",0.46,0,0.53
"IHSG > 7500 #133",0.12,1,0.29
"USD/IDR < 16000 #134",0.32,0,0.34
"Ekspor naik QoQ #135",0.05,1,0.08
"Beras medium < 14rb #136",0.42,1,0.45
"Cadev naik #137",0.48,0,0.46
"PMI > 50 #138",0.12,1,0.26
"Defisit < 2.5% #139",0.36,0,0.35
"Upah minimum naik > 6% #140",0.53,0,0.49
